Store,DayOfWeek,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,Week,Quarter,DayName,Lag_1,Lag_7,Rolling_Mean_7,Rolling_STD_7,IsWeekend,Month_Start,Month_End,Sales
3,4,1170,1,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,8,2,1,4,10319.0,4760.0,6301.0,5254.517421546277,0,0,0,13546
3,5,1067,1,1,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,9,2,1,0,13546.0,4143.0,7512.285714285715,5637.483265733795,0,0,0,12622
3,6,1030,1,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,10,2,1,2,12622.0,0.0,8529.714285714286,4603.604845273818,1,0,0,7122
3,7,0,0,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,11,2,1,3,7122.0,0.0,8529.714285714286,4603.604845273818,1,0,0,0
3,1,1009,1,1,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,12,3,1,1,0.0,6199.0,8954.0,4488.418318294319,0,0,0,9169
3,2,582,1,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,13,3,1,5,9169.0,9900.0,8371.857142857143,4607.943989408272,0,0,0,5825
3,3,711,1,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,14,3,1,6,5825.0,10319.0,7905.142857142857,4542.847654227887,0,0,0,7052
3,4,1138,1,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,15,3,1,4,7052.0,13546.0,7202.857142857143,3853.1048272171133,0,0,0,8630
3,5,1168,1,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,16,3,1,0,8630.0,12622.0,7116.714285714285,3716.0615223775894,0,0,0,12019
3,6,394,1,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,17,3,1,2,12019.0,7122.0,6583.285714285715,3974.211440201513,1,0,0,3388
3,7,0,0,0,0,0,2,1,500.0,5.0,2012.0,1,10.0,2011.0,1,2015,1,18,3,1,3,3388.0,0.0,6583.285714285715,3974.211440201513,1,0,0,0
